hour,ASSAULT,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,LARCENY/THEFT,PROSTITUTION,ROBBERY,STOLEN PROPERTY,TRESPASS,VANDALISM,VEHICLE THEFT,WEAPON LAWS
0,9282,2890,483,640,3478,767,15418,1280,2626,478,465,5604,4272,939
1,7963,1853,356,591,2120,713,9302,1006,2651,344,329,3889,2932,683
2,7223,1941,315,584,1696,596,6172,739,2804,276,350,3709,2352,619
3,3594,1927,208,247,1128,235,3814,509,1691,205,294,2365,1439,349
4,2242,1683,139,98,831,120,2448,451,1080,189,204,1533,1098,250
5,1775,1553,348,50,415,37,2421,571,937,149,429,1263,1102,142
6,2336,1714,885,56,1178,74,3905,513,894,154,954,1456,1581,209
7,3458,2771,727,36,2735,157,6309,265,811,239,958,2018,2824,358
8,5437,4390,564,42,3660,151,10560,147,924,307,909,2990,4038,504
9,5969,3788,431,41,4325,158,12405,158,1087,339,837,2788,3948,662
10,6635,3456,382,18,4911,185,15156,181,1226,368,839,2860,3687,662
11,7047,3290,358,39,5438,258,16534,173,1362,438,784,2705,3299,783
12,8886,4421,370,48,5610,266,21887,320,1653,556,847,3760,4855,910
13,7665,2905,357,53,7339,261,19243,318,1783,530,823,2836,3475,896
14,7761,3185,319,62,8456,296,20082,248,1880,563,719,3211,4060,899
15,8667,3705,309,78,7716,316,21715,165,2154,612,777,3863,4788,1015
16,8453,4081,280,112,8064,390,22531,201,2386,642,738,4290,5671,1093
17,8649,5480,276,152,8287,476,25525,544,2328,641,763,5762,7522,1053
18,8573,5483,296,162,7416,524,30026,1104,2445,619,702,6834,9191,1143
19,8312,4059,246,214,6320,502,27959,1288,2645,499,638,6126,8035,1048
20,8204,3550,228,238,4867,518,24228,1024,2958,483,611,6165,8395,999
21,8508,3412,266,322,4581,578,20739,1226,3358,413,597,6380,8197,978
22,8282,3208,353,444,5408,687,20821,1514,3352,453,505,6484,8626,1071
23,7855,3008,385,565,4610,672,19191,1534,3103,421,430,5999,7572,1001
