LOCATION,COLLISIONS,ON STREET NAME,CROSS STREET NAME
"(40.6960346, -73.9845292)",585,TILLARY STREET,FLATBUSH AVENUE EXTENSION
"(40.7606005, -73.9643142)",472,EAST 59 STREET,2 AVENUE
"(40.7572323, -73.9897922)",455,WEST 42 STREET,8 AVENUE
"(40.6757357, -73.8968533)",433,PENNSYLVANIA AVENUE,ATLANTIC AVENUE
"(40.6585778, -73.8906229)",417,LINDEN BOULEVARD,PENNSYLVANIA AVENUE
"(40.7203211, -73.9940403)",368,BOWERY,DELANCEY STREET
"(40.7334973, -73.8703694)",354,QUEENS BOULEVARD,WOODHAVEN BOULEVARD
"(40.7602226, -73.967462)",353,EAST 57 STREET,3 AVENUE
"(40.7584292, -73.9926328)",350,9 AVENUE,WEST 42 STREET
"(40.7509908, -73.9906233)",347,WEST 34 STREET,7 AVENUE
