ZIP CODE,COLLISIONS
11207,10434
10016,8597
11101,8519
10022,8430
10019,8238
10036,7889
11201,7682
10001,7579
11203,7011
10013,6846
11236,6528
11385,6498
10002,6369
11234,6226
11226,6097
11220,6093
11434,5986
11208,5933
10018,5731
11213,5702
10467,5680
11206,5634
11212,5593
11233,5528
11230,5522
10017,5343
11354,5299
11377,5285
11211,5248
10011,5211
11216,5089
10003,5069
10029,4959
11235,4953
11355,4934
10065,4928
11373,4925
11217,4913
11215,4791
11223,4706
11221,4494
10306,4478
11372,4455
11219,4421
11204,4408
11368,4403
10458,4394
11229,4351
10466,4316
11432,4288
11214,4250
11210,4230
10027,4227
11218,4221
10035,4157
11375,4155
11238,4105
10468,4104
11225,3984
10010,3963
10012,3920
11222,3904
10025,3874
10023,3859
10469,3824
10451,3798
11413,3707
10461,3667
11205,3582
10457,3580
10460,3558
11435,3495
11420,3429
10312,3428
10304,3423
10024,3380
11422,3368
10014,3332
11232,3323
11419,3293
10462,3290
10128,3284
11209,3280
10301,3273
10021,3227
10456,3212
11237,3186
11378,3131
10452,3119
10453,3103
10305,3037
10463,3014
10314,3013
10459,2970
10009,2936
10033,2882
11361,2831
10032,2819
10454,2784
11358,2735
11433,2719
11417,2711
10472,2642
11106,2621
10455,2612
11374,2609
11691,2557
11418,2552
11412,2496
10031,2457
11228,2438
10028,2350
10034,2311
11224,2300
10473,2295
11369,2239
11379,2237
11103,2222
11421,2187
11231,2134
11423,2120
11367,2119
10465,2103
10475,2026
11249,1998
10007,1918
10310,1899
10309,1899
11370,1849
11416,1802
10075,1775
11102,1760
11357,1722
11429,1679
11364,1671
10030,1664
11356,1638
11105,1632
10026,1621
10470,1585
11365,1585
11411,1551
10037,1551
11414,1541
10038,1523
11427,1503
10474,1486
10308,1472
11428,1404
11104,1394
10040,1292
11004,1244
11366,1225
11436,1173
10004,1107
11426,1098
11415,1073
11362,1051
10471,967
10039,934
11694,773
10006,747
11239,731
11363,714
11693,700
11692,674
11360,632
10005,628
10303,550
10307,521
10302,504
10020,379
10464,334
11001,226
11040,169
10069,142
10119,131
10280,112
11697,75
11109,69
11430,63
10282,48
11005,46
10048,33
10281,30
10111,15
11695,10
10000,7
11359,6
10803,2
