LOCATION,COUNT
"(40.5732661, -74.1469613)",13
"(40.7887968, -73.9375408)",12
"(40.8726198, -73.9046763)",12
"(40.7621739, -73.7567868)",11
"(40.8221447, -73.8878132)",11
"(40.7460347, -73.9344002)",10
"(40.5827584, -74.1304)",9
"(40.8289603, -73.8420547)",8
"(40.8708016, -73.8193996)",7
"(40.7170151, -73.8297)",7
"(40.7644363, -73.7226787)",7
"(40.6975581, -73.8527719)",7
"(40.8952213, -73.8800407)",7
"(40.6656136, -73.7356712)",7
"(40.8660891, -73.8826747)",6
"(40.6960346, -73.9845292)",6
"(40.8571285, -73.8807926)",6
"(40.7120013, -73.8254559)",6
"(40.597551, -74.1113224)",6
"(40.7090458, -73.8414531)",6
