,dis,pro,total,vet,year
0,CENTRAL,70,13622,1193,2003
1,NORTHERN,581,18975,1879,2003
2,INGLESIDE,5,14008,2319,2003
3,SOUTHERN,18,25692,1426,2003
4,MISSION,713,21163,2063,2003
5,TENDERLOIN,527,12737,371,2003
6,RICHMOND,15,7692,1081,2003
7,TARAVAL,10,11329,1665,2003
8,BAYVIEW,11,15739,2121,2003
9,PARK,2,8219,1207,2003
10,CENTRAL,163,13799,1398,2004
11,NORTHERN,551,18750,1904,2004
12,INGLESIDE,2,13995,2853,2004
13,SOUTHERN,25,24551,1552,2004
14,MISSION,529,21029,2290,2004
15,TENDERLOIN,224,12081,327,2004
16,RICHMOND,4,7758,1533,2004
17,TARAVAL,11,12059,2458,2004
18,BAYVIEW,18,15943,2185,2004
19,PARK,0,8183,1384,2004
20,CENTRAL,160,13292,1425,2005
21,NORTHERN,364,18677,2287,2005
22,INGLESIDE,8,13273,2748,2005
23,SOUTHERN,31,23086,1491,2005
24,MISSION,346,19560,2418,2005
25,TENDERLOIN,151,12061,361,2005
26,RICHMOND,8,7264,1484,2005
27,TARAVAL,18,11756,2265,2005
28,BAYVIEW,16,15108,2308,2005
29,PARK,1,8109,1407,2005
30,CENTRAL,167,13093,583,2006
31,NORTHERN,380,18679,836,2006
32,INGLESIDE,6,12654,1223,2006
33,SOUTHERN,25,23325,646,2006
34,MISSION,591,18916,994,2006
35,TENDERLOIN,96,11791,133,2006
36,RICHMOND,1,6441,500,2006
37,TARAVAL,12,10827,927,2006
38,BAYVIEW,12,14242,907,2006
39,PARK,0,7885,542,2006
40,CENTRAL,393,13335,637,2007
41,NORTHERN,369,16430,702,2007
42,INGLESIDE,5,12797,966,2007
43,SOUTHERN,17,24175,621,2007
44,MISSION,740,18434,830,2007
45,TENDERLOIN,310,14735,100,2007
46,RICHMOND,0,6586,603,2007
47,TARAVAL,19,9988,787,2007
48,BAYVIEW,17,13925,785,2007
49,PARK,3,7234,429,2007
50,CENTRAL,305,13566,489,2008
51,NORTHERN,352,16080,765,2008
52,INGLESIDE,7,12173,840,2008
53,SOUTHERN,29,24153,594,2008
54,MISSION,707,19721,881,2008
55,TENDERLOIN,226,16681,102,2008
56,RICHMOND,6,6875,464,2008
57,TARAVAL,32,10770,674,2008
58,BAYVIEW,6,14104,804,2008
59,PARK,3,7188,440,2008
60,CENTRAL,110,13061,434,2009
61,NORTHERN,165,15838,610,2009
62,INGLESIDE,4,12135,865,2009
63,SOUTHERN,20,24409,538,2009
64,MISSION,997,19117,766,2009
65,TENDERLOIN,141,16954,82,2009
66,RICHMOND,4,6825,316,2009
67,TARAVAL,16,10351,523,2009
68,BAYVIEW,10,13617,684,2009
69,PARK,1,7554,365,2009
70,CENTRAL,47,12170,303,2010
71,NORTHERN,372,14263,462,2010
72,INGLESIDE,3,12351,830,2010
73,SOUTHERN,25,26049,372,2010
74,MISSION,774,18121,572,2010
75,TENDERLOIN,51,13773,95,2010
76,RICHMOND,1,6500,282,2010
77,TARAVAL,18,9310,470,2010
78,BAYVIEW,7,14076,657,2010
79,PARK,1,6912,303,2010
80,CENTRAL,22,12757,403,2011
81,NORTHERN,324,14655,562,2011
82,INGLESIDE,1,11934,754,2011
83,SOUTHERN,15,24708,418,2011
84,MISSION,657,18237,675,2011
85,TENDERLOIN,63,12424,86,2011
86,RICHMOND,0,6662,339,2011
87,TARAVAL,6,9876,463,2011
88,BAYVIEW,6,13914,679,2011
89,PARK,0,7532,383,2011
90,CENTRAL,16,14033,490,2012
91,NORTHERN,194,16341,707,2012
92,INGLESIDE,3,12519,1308,2012
93,SOUTHERN,25,25890,494,2012
94,MISSION,333,18788,850,2012
95,TENDERLOIN,109,11791,61,2012
96,RICHMOND,1,7707,488,2012
97,TARAVAL,2,10515,505,2012
98,BAYVIEW,7,14505,755,2012
99,PARK,0,8769,525,2012
100,CENTRAL,37,14783,441,2013
101,NORTHERN,115,18112,760,2013
102,INGLESIDE,6,13197,1286,2013
103,SOUTHERN,15,29240,452,2013
104,MISSION,469,21157,812,2013
105,TENDERLOIN,35,12888,116,2013
106,RICHMOND,1,8478,518,2013
107,TARAVAL,3,10709,643,2013
108,BAYVIEW,10,14792,836,2013
109,PARK,1,9456,377,2013
110,CENTRAL,166,17342,556,2014
111,NORTHERN,40,18412,809,2014
112,INGLESIDE,5,12838,1432,2014
113,SOUTHERN,31,28871,575,2014
114,MISSION,162,19443,993,2014
115,TENDERLOIN,15,11490,137,2014
116,RICHMOND,2,8020,440,2014
117,TARAVAL,22,10528,701,2014
118,BAYVIEW,5,13885,952,2014
119,PARK,1,9332,518,2014
120,CENTRAL,44,18368,549,2015
121,NORTHERN,42,19804,942,2015
122,INGLESIDE,4,13133,1366,2015
123,SOUTHERN,96,29709,793,2015
124,MISSION,66,18312,1195,2015
125,TENDERLOIN,23,10584,112,2015
126,RICHMOND,9,8970,561,2015
127,TARAVAL,78,11752,786,2015
128,BAYVIEW,6,14353,981,2015
129,PARK,1,9221,639,2015
