,PdDistrict,X,Y,K3,K2,K4,K5,K6
670,TENDERLOIN,-122.406401668,37.7866144613,1,0,0,4,1
724,TENDERLOIN,-122.408201657,37.7868849113,1,0,0,4,1
727,TENDERLOIN,-122.408231026,37.787359495,1,0,0,4,1
1105,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1106,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1108,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1118,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1157,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1158,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1159,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1160,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1192,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1193,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1231,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1232,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1275,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1277,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1294,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1299,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1301,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1302,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1313,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1314,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1316,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1320,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1324,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1327,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1328,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1329,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1351,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
1354,SOUTHERN,-122.400916029,37.7854574903,1,0,0,4,1
2251,MISSION,-122.418351238,37.7570133987,0,1,1,1,2
2261,MISSION,-122.41592985,37.7604330004,0,1,1,1,2
2262,MISSION,-122.41592985,37.7604330004,0,1,1,1,2
2284,MISSION,-122.417964484,37.7586968166,0,1,1,1,2
2425,TENDERLOIN,-122.415066876,37.7835634796,1,0,0,0,0
2835,INGLESIDE,-122.427966288,37.7118229386,0,1,2,2,5
2836,INGLESIDE,-122.427966288,37.7118229386,0,1,2,2,5
2837,INGLESIDE,-122.427966288,37.7118229386,0,1,2,2,5
