WEATHERCONDITION,COUNT
Blowing Snow,884
Clear,1043732
Fog,116518
Haze,112200
Heavy Rain,82246
Heavy Snow,5644
Heavy Thunderstorms and Rain,21522
Ice Pellets,1496
Light Drizzle,229636
Light Freezing Drizzle,4760
Light Freezing Rain,30770
Light Ice Pellets,13090
Light Rain,1548632
Light Rain Showers,1326
Light Snow,479026
Light Thunderstorms and Rain,52258
Mist,9826
Mostly Cloudy,8756700
Overcast,3677100
Partly Cloudy,2912236
Patches of Fog,2346
Rain,267410
Scattered Clouds,5272788
Shallow Fog,3366
Snow,45628
Squalls,1564
Thunderstorm,29104
Thunderstorms and Rain,8670
Thunderstorms with Small Hail,1190
Unknown,6834
