,LAT,LOCATION,LON,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
"(40.4989488, -74.2443651)",40.4989488,2, -74.2443651,0.0,0.0
"(40.4991346, -74.2434848)",40.4991346,1, -74.2434848,0.0,0.0
"(40.4994787, -74.2417278)",40.4994787,1, -74.2417278,1.0,0.0
"(40.499659, -74.2408224)",40.499659,1, -74.2408224,0.0,0.0
"(40.499842, -74.2399169)",40.499842,2, -74.2399169,0.0,0.0
"(40.5000251, -74.2390115)",40.5000251,3, -74.2390115,0.0,0.0
"(40.5002081, -74.2381024)",40.5002081,1, -74.2381024,0.0,0.0
"(40.5004173, -74.2364851)",40.5004173,1, -74.2364851,0.0,0.0
"(40.500737, -74.2488483)",40.500737,2, -74.2488483,0.0,0.0
"(40.5011072, -74.2413094)",40.5011072,1, -74.2413094,0.0,0.0
"(40.5016305, -74.2443461)",40.5016305,1, -74.2443461,0.0,0.0
"(40.5017623, -74.2351486)",40.5017623,1, -74.2351486,0.0,0.0
"(40.5019774, -74.242589)",40.5019774,2, -74.242589,0.0,0.0
"(40.5019881, -74.2334486)",40.5019881,3, -74.2334486,0.0,0.0
"(40.5021605, -74.24168)",40.5021605,2, -74.24168,2.0,0.0
"(40.502295, -74.2350498)",40.502295,1, -74.2350498,0.0,0.0
"(40.5023408, -74.2407781)",40.5023408,3, -74.2407781,0.0,0.0
"(40.5025184, -74.2437309)",40.5025184,1, -74.2437309,0.0,0.0
"(40.5025888, -74.2336521)",40.5025888,1, -74.2336521,2.0,0.0
"(40.5027754, -74.2518296)",40.5027754,4, -74.2518296,1.0,0.0
"(40.502878, -74.2513626)",40.502878,1, -74.2513626,0.0,0.0
"(40.5030437, -74.2419744)",40.5030437,1, -74.2419744,0.0,0.0
"(40.5030638, -74.2389216)",40.5030638,1, -74.2389216,0.0,0.0
"(40.5031959, -74.2478182)",40.5031959,1, -74.2478182,0.0,0.0
"(40.503211, -74.2497025)",40.503211,1, -74.2497025,0.0,0.0
"(40.5033886, -74.2488294)",40.5033886,3, -74.2488294,0.0,0.0
"(40.5035689, -74.2479383)",40.5035689,2, -74.2479383,0.0,0.0
"(40.5036309, -74.2381254)",40.5036309,1, -74.2381254,0.0,0.0
"(40.5036924, -74.2375754)",40.5036924,2, -74.2375754,0.0,0.0
"(40.5037576, -74.247022)",40.5037576,2, -74.247022,0.0,0.0
"(40.5038068, -74.239345)",40.5038068,1, -74.239345,0.0,0.0
"(40.5039407, -74.2460914)",40.5039407,2, -74.2460914,4.0,0.0
"(40.5039511, -74.2385796)",40.5039511,1, -74.2385796,0.0,0.0
"(40.5040551, -74.2490368)",40.5040551,1, -74.2490368,0.0,0.0
"(40.5041155, -74.2452002)",40.5041155,2, -74.2452002,0.0,0.0
"(40.5042903, -74.2443307)",40.5042903,6, -74.2443307,1.0,0.0
"(40.5044706, -74.2434503)",40.5044706,4, -74.2434503,4.0,0.0
"(40.5045454, -74.2378661)",40.5045454,1, -74.2378661,0.0,0.0
"(40.504651, -74.2425376)",40.504651,1, -74.2425376,0.0,0.0
"(40.5048313, -74.2416393)",40.5048313,3, -74.2416393,1.0,0.0
"(40.5050116, -74.2407338)",40.5050116,2, -74.2407338,1.0,0.0
"(40.5050615, -74.2405002)",40.5050615,1, -74.2405002,0.0,0.0
"(40.5051947, -74.2398103)",40.5051947,5, -74.2398103,3.0,0.0
"(40.5052667, -74.2485235)",40.5052667,1, -74.2485235,0.0,0.0
"(40.5052876, -74.2292349)",40.5052876,1, -74.2292349,0.0,0.0
"(40.505292, -74.24181)",40.505292,1, -74.24181,0.0,0.0
"(40.5055275, -74.2381753)",40.5055275,15, -74.2381753,8.0,0.0
"(40.50564, -74.2523223)",40.50564,4, -74.2523223,2.0,0.0
"(40.5060025, -74.249695)",40.5060025,1, -74.249695,0.0,0.0
"(40.5061875, -74.2348945)",40.5061875,15, -74.2348945,7.0,0.0
"(40.5063029, -74.2478909)",40.5063029,1, -74.2478909,0.0,0.0
"(40.5063809, -74.2421879)",40.5063809,1, -74.2421879,0.0,0.0
"(40.5064603, -74.2409835)",40.5064603,1, -74.2409835,0.0,0.0
"(40.5064805, -74.2469638)",40.5064805,2, -74.2469638,2.0,0.0
"(40.5065165, -74.2468344)",40.5065165,1, -74.2468344,0.0,0.0
