FID,wkb_geometry,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.0,POINT (12.572665592562222 55.67900255632159),467,152,P-info,1396,RØD,NV,DYRKØB,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.1,POINT (12.572937473827633 55.67921596332571),466,153,Betalingsautomat,1396,Rød,NV,Dyrkøb,OF/3,,2000160,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.2,POINT (12.566107871340106 55.67782743364014),470,156,Betalingsautomat,148,RØD,RH,H C ANDERSENS BOULEVARD,9,Eksisterende fortovsø,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.3,POINT (12.56557653640952 55.678517044686515),471,157,Betalingsautomat,3348,RØD,NV,JARMERS PLADS,7,Eksisterende fortovsø,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.4,POINT (12.566308187377208 55.67917067888057),472,158,P-info,5220,RØD,NV,NØRRE VOLDGADE,OF/6,,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.5,POINT (12.57341988048724 55.67366680944171),473,159,P-info,1276,RØD,RH,DANTES PLADS,4,,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.6,POINT (12.57324398929724 55.67338587282356),462,160,Betalingsautomat,1276,Rød,RH,Dantes Plads,OF/5,,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.7,POINT (12.555178540169926 55.681753235913526),618,1002,Betalingsautomat,5960,BLÅ,IN,ROSENØRNS ALLÉ,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.8,POINT (12.555202382958294 55.68159305567384),619,1003,Betalingsautomat,5960,BLÅ,IN,ROSENØRNS ALLÉ,9,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.9,POINT (12.554328503728506 55.68212558877428),620,1004,Betalingsautomat,3448,BLÅ,IN,JULIUS THOMSENS GADE,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.10,POINT (12.554374550617656 55.68257021180431),621,1005,Betalingsautomat,3448,Blå,IN,Julius Thomsens Gade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.11,POINT (12.55558160320977 55.682205626059655),622,1006,Betalingsautomat,2852,BLÅ,IN,HERMAN TRIERS PLADS,3,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.12,POINT (12.556026066209979 55.6820636887889),623,1007,Betalingsautomat,3732,BLÅ,IN,KLEINSGADE,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.13,POINT (12.555815709540363 55.68254933624246),624,1008,Betalingsautomat,2852,BLÅ,IN,HERMAN TRIERS PLADS,2,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.14,POINT (12.55501498960096 55.683121637298385),625,1009,Betalingsautomat,3448,BLÅ,IN,JULIUS THOMSENS GADE,18,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.15,POINT (12.554945658988423 55.68340418293578),626,1010,Betalingsautomat,3448,Blå,IN,Julius Thomsens Gade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.16,POINT (12.55588853147193 55.6831208604956),627,1011,Betalingsautomat,8636,BLÅ,IN,ÅBOULEVARD,11B,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.17,POINT (12.556823980924833 55.68295806824195),628,1012,Betalingsautomat,8636,BLÅ,IN,ÅBOULEVARD,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.18,POINT (12.554256380154458 55.68485777703243),629,1013,Betalingsautomat,8636,BLÅ,IN,ÅBOULEVARD,38,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.19,POINT (12.552815105786639 55.68615457521039),630,1014,Betalingsautomat,2304,BLÅ,IN,GRIFFENFELDSGADE,35,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.20,POINT (12.555162638684573 55.68618867199518),631,1015,Betalingsautomat,3920,BLÅ,IN,KORSGADE,37,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.21,POINT (12.556251386948071 55.685769934903654),632,1016,Betalingsautomat,3920,BLÅ,IN,KORSGADE,25,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
