Conditions,DateUTC,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees
Clear,7/1/2012 4:51:00,17.2,,,58,,1008.6,26.1,12:51 AM,,16.1,West,13,280
Clear,7/1/2012 5:51:00,17.2,,,60,,1008.8,25.6,1:51 AM,,16.1,West,5.6,270
Clear,7/1/2012 6:51:00,17.2,,,62,,1008.7,25,2:51 AM,,16.1,Variable,5.6,0
Clear,7/1/2012 7:51:00,16.7,,,60,,1008.9,25,3:51 AM,,16.1,West,7.4,280
Clear,7/1/2012 8:51:00,16.1,,,58,,1009.1,25,4:51 AM,,16.1,West,5.6,270
Clear,7/1/2012 9:51:00,16.1,,,62,,1009.4,23.9,5:51 AM,,14.5,Calm,Calm,0
Clear,7/1/2012 10:51:00,16.7,,,62,,1009.9,24.4,6:51 AM,,14.5,Calm,Calm,0
Clear,7/1/2012 11:51:00,16.7,,,58,,1010.5,25.6,7:51 AM,,14.5,WSW,7.4,250
Clear,7/1/2012 12:51:00,17.2,,,54,,1010.3,27.2,8:51 AM,,14.5,West,9.3,260
Clear,7/1/2012 13:51:00,17.8,,,54,,1010.2,27.8,9:51 AM,,14.5,Variable,9.3,0
Clear,7/1/2012 14:51:00,18.9,,,51,,1010.1,30,10:51 AM,,14.5,West,7.4,260
Clear,7/1/2012 15:51:00,17.8,,,43,,1010,31.7,11:51 AM,,14.5,Variable,7.4,0
Clear,7/1/2012 16:51:00,17.8,,,38,,1009.6,33.9,12:51 PM,,16.1,North,-9999,0
Partly Cloudy,7/1/2012 17:51:00,17.8,,,39,,1009,33.3,1:51 PM,,16.1,Variable,11.1,0
Partly Cloudy,7/1/2012 18:51:00,18.3,,,39,,1008.1,33.9,2:51 PM,,16.1,WSW,11.1,240
Partly Cloudy,7/1/2012 19:51:00,17.2,,,37,,1007.8,33.9,3:51 PM,,16.1,Variable,9.3,0
Clear,7/1/2012 20:51:00,17.8,,31.5,39,,1007.9,33.3,4:51 PM,,14.5,WNW,11.1,290
Partly Cloudy,7/1/2012 21:51:00,16.7,,33.3,43,,1008,30.6,5:51 PM,,16.1,NW,13,320
Clear,7/1/2012 22:51:00,16.7,,,44,,1007.7,30,6:51 PM,,16.1,WNW,13,290
Clear,7/1/2012 23:51:00,16.7,,,44,,1008.2,30,7:51 PM,,16.1,Calm,Calm,0
Clear,7/2/2012 0:51:00,13.3,,,37,,1009.3,29.4,8:51 PM,,16.1,Variable,7.4,0
Clear,7/2/2012 1:51:00,13.3,,,39,,1010.6,28.3,9:51 PM,,16.1,WNW,9.3,300
Clear,7/2/2012 2:51:00,12.8,,,39,,1011,27.8,10:51 PM,,16.1,Variable,7.4,0
Clear,7/2/2012 3:51:00,12.2,,,40,,1011.2,26.7,11:51 PM,,16.1,Variable,5.6,0
Clear,7/2/2012 4:51:00,12.2,,,43,,1010.8,25.6,12:51 AM,,16.1,Variable,5.6,0
Clear,7/2/2012 5:51:00,11.7,,,43,,1011.3,25,1:51 AM,,16.1,Calm,Calm,0
Clear,7/2/2012 6:51:00,12.2,,,48,,1011.1,23.9,2:51 AM,,16.1,North,7.4,350
Clear,7/2/2012 7:51:00,11.7,,,49,,1011,22.8,3:51 AM,,16.1,Calm,Calm,0
Clear,7/2/2012 8:51:00,11.7,,,49,,1010.8,22.8,4:51 AM,,16.1,Calm,Calm,0
Clear,7/2/2012 9:51:00,12.2,,,50,,1011.5,23.3,5:51 AM,,16.1,West,9.3,280
Clear,7/2/2012 10:51:00,12.8,,,53,,1012,22.8,6:51 AM,,16.1,WNW,5.6,290
Clear,7/2/2012 11:51:00,12.8,,,52,,1012.8,23.3,7:51 AM,,16.1,Variable,5.6,0
Clear,7/2/2012 12:51:00,13.3,,,48,,1013.1,25,8:51 AM,,16.1,Variable,7.4,0
Clear,7/2/2012 13:51:00,13.3,,,45,,1012.9,26.1,9:51 AM,,16.1,Calm,Calm,0
Clear,7/2/2012 14:51:00,13.9,,,42,,1012.8,27.8,10:51 AM,,16.1,Variable,7.4,0
Partly Cloudy,7/2/2012 15:51:00,13.3,,,38,,1012.6,28.9,11:51 AM,,16.1,North,14.8,350
Partly Cloudy,7/2/2012 16:51:00,11.7,,,33,,1012.3,29.4,12:51 PM,,16.1,Variable,11.1,0
Scattered Clouds,7/2/2012 17:51:00,11.7,,,30,,1012.1,31.1,1:51 PM,,16.1,North,13,360
Unknown,7/2/2012 18:51:00,12.8,,,37,,1012.8,28.9,2:51 PM,,16.1,Variable,5.6,0
Clear,7/2/2012 19:51:00,11.1,,,32,,1012.8,29.4,3:51 PM,,16.1,Variable,11.1,0
Mostly Cloudy,7/2/2012 20:51:00,11.7,,,33,,1012.8,29.4,4:51 PM,,16.1,WNW,13,300
Mostly Cloudy,7/2/2012 21:51:00,11.7,,,33,,1012.8,29.4,5:51 PM,,16.1,Variable,5.6,0
Clear,7/2/2012 22:51:00,11.1,,,33,,1012.8,28.9,6:51 PM,,16.1,Variable,9.3,0
Clear,7/2/2012 23:51:00,10,,,32,,1013.1,28.3,7:51 PM,,16.1,Variable,9.3,0
Clear,7/3/2012 0:51:00,10.6,,,34,,1013.8,27.8,8:51 PM,,16.1,Variable,9.3,0
Clear,7/3/2012 1:51:00,11.1,,,38,,1014.1,26.7,9:51 PM,,16.1,Variable,7.4,0
Clear,7/3/2012 2:51:00,12.2,,,43,,1014.1,25.6,10:51 PM,,16.1,Variable,7.4,0
Clear,7/3/2012 3:51:00,12.2,,,43,,1014.1,25.6,11:51 PM,,16.1,Variable,7.4,0
Clear,7/3/2012 4:51:00,12.2,,,46,,1014.1,24.4,12:51 AM,,16.1,Variable,5.6,0
Clear,7/3/2012 5:51:00,12.8,,,52,,1014.4,23.3,1:51 AM,,16.1,Calm,Calm,0
Clear,7/3/2012 6:51:00,13.3,,,53,,1013.3,23.3,2:51 AM,,16.1,WNW,5.6,290
Clear,7/3/2012 7:51:00,13.3,,,55,,1013.3,22.8,3:51 AM,,16.1,Calm,Calm,0
Clear,7/3/2012 8:51:00,13.9,,,59,,1013.3,22.2,4:51 AM,,16.1,West,5.6,280
Clear,7/3/2012 10:51:00,13.9,,,57,,1014,22.8,6:51 AM,,16.1,WNW,7.4,290
Clear,7/3/2012 11:51:00,13.9,,,53,,1014.6,23.9,7:51 AM,,16.1,Calm,Calm,0
Clear,7/3/2012 12:51:00,13.9,,,52,,1014.2,24.4,8:51 AM,,16.1,Calm,Calm,0
Clear,7/3/2012 13:51:00,15,,,48,,1013.9,26.7,9:51 AM,,16.1,Calm,Calm,0
Clear,7/3/2012 14:51:00,14.4,,,42,,1013.9,28.3,10:51 AM,,16.1,WSW,9.3,250
Partly Cloudy,7/3/2012 15:51:00,13.9,,,36,,1013.2,30.6,11:51 AM,,16.1,North,-9999,0
Scattered Clouds,7/3/2012 16:51:00,13.9,,,35,,1012.9,31.1,12:51 PM,,16.1,North,-9999,0
Partly Cloudy,7/3/2012 17:51:00,13.9,,,35,,1012.5,31.1,1:51 PM,,16.1,WNW,9.3,300
Clear,7/3/2012 18:51:00,13.3,,,36,,1012.2,30,2:51 PM,,16.1,North,-9999,0
Partly Cloudy,7/3/2012 19:51:00,13.3,,,35,,1011.6,30.6,3:51 PM,,16.1,Variable,11.1,0
Partly Cloudy,7/3/2012 20:51:00,16.7,,,44,,1011.4,30,4:51 PM,,16.1,Variable,5.6,0
Clear,7/3/2012 21:51:00,15.6,,,44,,1011.2,28.9,5:51 PM,,16.1,Variable,9.3,0
Clear,7/3/2012 22:51:00,15.6,,,46,,1010.9,28.3,6:51 PM,,16.1,Variable,7.4,0
Clear,7/3/2012 23:51:00,16.7,,,51,,1010.5,27.8,7:51 PM,,16.1,Variable,5.6,0
Clear,7/4/2012 0:51:00,17.8,,,56,,1010.1,27.2,8:51 PM,,16.1,Calm,Calm,0
Clear,7/4/2012 1:51:00,18.3,,,60,,1010,26.7,9:51 PM,,16.1,Variable,5.6,0
Clear,7/4/2012 2:51:00,17.8,,,58,,1010,26.7,10:51 PM,,16.1,Variable,5.6,0
Partly Cloudy,7/4/2012 3:51:00,17.8,,,58,,1009.8,26.7,11:51 PM,,16.1,Variable,9.3,0
Clear,7/4/2012 4:51:00,17.8,,,58,,1009.8,26.7,12:51 AM,,16.1,Calm,Calm,0
Mostly Cloudy,7/4/2012 5:51:00,17.2,,,56,,1009.8,26.7,1:51 AM,,16.1,Variable,9.3,0
Overcast,7/4/2012 6:51:00,16.7,,,52,,1009.2,27.2,2:51 AM,,16.1,WSW,14.8,240
Mostly Cloudy,7/4/2012 7:51:00,16.7,,,54,,1009.3,26.7,3:51 AM,,16.1,Variable,5.6,0
Scattered Clouds,7/4/2012 8:51:00,16.7,,,56,,1009.9,26.1,4:51 AM,,16.1,NW,13,310
Overcast,7/4/2012 9:51:00,17.8,,,67,0,1010.8,24.4,5:51 AM,,16.1,Variable,5.6,0
Light Rain,7/4/2012 10:51:00,20.6,Rain,,93,0.04,1010.6,21.7,6:51 AM,,6.4,Calm,Calm,0
Light Rain,7/4/2012 11:51:00,20.6,Rain,,97,0.02,1010.4,21.1,7:51 AM,,4,Calm,Calm,0
Overcast,7/4/2012 12:51:00,20.6,,,93,0,1010.9,21.7,8:51 AM,,9.7,Variable,9.3,0
Clear,7/4/2012 13:51:00,20,,,82,,1010.4,23.3,9:51 AM,,14.5,Variable,5.6,0
Clear,7/4/2012 14:51:00,20.6,,,72,,1009.8,26.1,10:51 AM,,16.1,Variable,5.6,0
Clear,7/4/2012 15:51:00,20,,,58,,1009.2,28.9,11:51 AM,,16.1,Calm,Calm,0
Clear,7/4/2012 16:51:00,19.4,,,51,,1008.6,30.6,12:51 PM,,16.1,Variable,5.6,0
Clear,7/4/2012 17:51:00,19.4,,,48,,1008.1,31.7,1:51 PM,,16.1,West,13,280
Clear,7/4/2012 18:51:00,18.9,,,44,,1007.8,32.8,2:51 PM,,16.1,West,9.3,270
Clear,7/4/2012 19:51:00,18.9,,,45,,1007.6,32.2,3:51 PM,,16.1,Variable,11.1,0
Clear,7/4/2012 20:51:00,18.9,,,44,,1007.1,32.8,4:51 PM,,16.1,WSW,9.3,250
Clear,7/4/2012 21:51:00,17.8,,,41,,1006.4,32.8,5:51 PM,,16.1,WNW,13,290
Clear,7/4/2012 22:51:00,18.3,,,43,,1006.1,32.2,6:51 PM,,16.1,Calm,Calm,0
Clear,7/4/2012 23:51:00,19.4,,,51,,1006.5,30.6,7:51 PM,,14.5,Variable,11.1,0
Clear,7/5/2012 0:51:00,19.4,,,51,,1006.7,30.6,8:51 PM,,16.1,Calm,Calm,0
Scattered Clouds,7/5/2012 1:51:00,19.4,,,51,,1007.5,30.6,9:51 PM,,16.1,Calm,Calm,0
Clear,7/5/2012 2:51:00,20,,,55,,1006.9,30,10:51 PM,,14.5,Variable,7.4,0
Clear,7/5/2012 3:51:00,20,,,57,,1006.6,29.4,11:51 PM,,14.5,Variable,5.6,0
Clear,7/5/2012 4:51:00,20,,,57,,1006.9,29.4,12:51 AM,,16.1,West,7.4,280
Clear,7/5/2012 5:51:00,20.6,,,63,,1006.9,28.3,1:51 AM,,16.1,Variable,7.4,0
Clear,7/5/2012 6:51:00,20.6,,,63,,1006.6,28.3,2:51 AM,,14.5,West,9.3,270
Clear,7/5/2012 7:51:00,20.6,,,65,,1006.4,27.8,3:51 AM,,14.5,WNW,9.3,300
Clear,7/5/2012 8:51:00,20.6,,,69,,1006.3,26.7,4:51 AM,,14.5,Variable,9.3,0
Clear,7/5/2012 9:51:00,21.1,,,71,,1006.9,26.7,5:51 AM,,12.9,Variable,7.4,0
Clear,7/5/2012 10:51:00,21.1,,,69,,1007.4,27.2,6:51 AM,,12.9,Calm,Calm,0
Clear,7/5/2012 11:51:00,21.1,,,67,,1007.5,27.8,7:51 AM,,12.9,North,-9999,0
Clear,7/5/2012 12:51:00,20,,,60,,1008.1,28.3,8:51 AM,,14.5,Variable,5.6,0
Clear,7/5/2012 13:51:00,20,,,55,,1007.9,30,9:51 AM,,14.5,Variable,7.4,0
Partly Cloudy,7/5/2012 14:51:00,18.9,,,49,,1007.8,30.6,10:51 AM,,14.5,Variable,9.3,0
Clear,7/5/2012 15:51:00,18.9,,,44,,1007.9,32.8,11:51 AM,,16.1,Variable,11.1,0
Clear,7/5/2012 16:51:00,17.8,,,38,,1007.7,33.9,12:51 PM,,16.1,Variable,5.6,0
Clear,7/5/2012 17:51:00,16.7,,,36,,1007.5,33.9,1:51 PM,,16.1,North,-9999,0
Clear,7/5/2012 18:51:00,12.8,,,27,,1007.5,34.4,2:51 PM,,16.1,WNW,7.4,290
Clear,7/5/2012 19:51:00,13.3,,,29,,1007.4,33.9,3:51 PM,,16.1,NNE,14.8,20
Clear,7/5/2012 20:51:00,12.2,,,27,,1007.8,33.3,4:51 PM,,16.1,NNW,5.6,340
Clear,7/5/2012 21:51:00,8.3,,,21,,1007.8,33.3,5:51 PM,,16.1,Variable,5.6,0
Clear,7/5/2012 22:51:00,10,,,25,,1008.2,32.2,6:51 PM,,16.1,NNE,11.1,30
Partly Cloudy,7/5/2012 23:24:00,9.4,,,26,,1009.4,31.1,7:24 PM,,16.1,Variable,5.6,0
