,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees
0,Clear,2012-07-01 04:51:00<br />,17.2,,-,58.0,,1008.6,26.1,12:51 AM,,16.1,West,13.0,280
1,Clear,2012-07-01 05:51:00<br />,17.2,,-,60.0,,1008.8,25.6,1:51 AM,,16.1,West,5.6,270
2,Clear,2012-07-01 06:51:00<br />,17.2,,-,62.0,,1008.7,25.0,2:51 AM,,16.1,Variable,5.6,0
3,Clear,2012-07-01 07:51:00<br />,16.7,,-,60.0,,1008.9,25.0,3:51 AM,,16.1,West,7.4,280
4,Clear,2012-07-01 08:51:00<br />,16.1,,-,58.0,,1009.1,25.0,4:51 AM,,16.1,West,5.6,270
5,Clear,2012-07-01 09:51:00<br />,16.1,,-,62.0,,1009.4,23.9,5:51 AM,,14.5,Calm,Calm,0
6,Clear,2012-07-01 10:51:00<br />,16.7,,-,62.0,,1009.9,24.4,6:51 AM,,14.5,Calm,Calm,0
7,Clear,2012-07-01 11:51:00<br />,16.7,,-,58.0,,1010.5,25.6,7:51 AM,,14.5,WSW,7.4,250
8,Clear,2012-07-01 12:51:00<br />,17.2,,-,54.0,,1010.3,27.2,8:51 AM,,14.5,West,9.3,260
9,Clear,2012-07-01 13:51:00<br />,17.8,,-,54.0,,1010.2,27.8,9:51 AM,,14.5,Variable,9.3,0
10,Clear,2012-07-01 14:51:00<br />,18.9,,-,51.0,,1010.1,30.0,10:51 AM,,14.5,West,7.4,260
11,Clear,2012-07-01 15:51:00<br />,17.8,,-,43.0,,1010.0,31.7,11:51 AM,,14.5,Variable,7.4,0
12,Clear,2012-07-01 16:51:00<br />,17.8,,-,38.0,,1009.6,33.9,12:51 PM,,16.1,North,-9999.0,0
13,Partly Cloudy,2012-07-01 17:51:00<br />,17.8,,-,39.0,,1009.0,33.3,1:51 PM,,16.1,Variable,11.1,0
14,Partly Cloudy,2012-07-01 18:51:00<br />,18.3,,-,39.0,,1008.1,33.9,2:51 PM,,16.1,WSW,11.1,240
15,Partly Cloudy,2012-07-01 19:51:00<br />,17.2,,-,37.0,,1007.8,33.9,3:51 PM,,16.1,Variable,9.3,0
16,Clear,2012-07-01 20:51:00<br />,17.8,,31.5,39.0,,1007.9,33.3,4:51 PM,,14.5,WNW,11.1,290
17,Partly Cloudy,2012-07-01 21:51:00<br />,16.7,,33.3,43.0,,1008.0,30.6,5:51 PM,,16.1,NW,13.0,320
18,Clear,2012-07-01 22:51:00<br />,16.7,,-,44.0,,1007.7,30.0,6:51 PM,,16.1,WNW,13.0,290
19,Clear,2012-07-01 23:51:00<br />,16.7,,-,44.0,,1008.2,30.0,7:51 PM,,16.1,Calm,Calm,0
20,Clear,2012-07-02 00:51:00<br />,13.3,,-,37.0,,1009.3,29.4,8:51 PM,,16.1,Variable,7.4,0
21,Clear,2012-07-02 01:51:00<br />,13.3,,-,39.0,,1010.6,28.3,9:51 PM,,16.1,WNW,9.3,300
22,Clear,2012-07-02 02:51:00<br />,12.8,,-,39.0,,1011.0,27.8,10:51 PM,,16.1,Variable,7.4,0
23,Clear,2012-07-02 03:51:00<br />,12.2,,-,40.0,,1011.2,26.7,11:51 PM,,16.1,Variable,5.6,0
0,Clear,2012-07-02 04:51:00<br />,12.2,,-,43.0,,1010.8,25.6,12:51 AM,,16.1,Variable,5.6,0
1,Clear,2012-07-02 05:51:00<br />,11.7,,-,43.0,,1011.3,25.0,1:51 AM,,16.1,Calm,Calm,0
2,Clear,2012-07-02 06:51:00<br />,12.2,,-,48.0,,1011.1,23.9,2:51 AM,,16.1,North,7.4,350
3,Clear,2012-07-02 07:51:00<br />,11.7,,-,49.0,,1011.0,22.8,3:51 AM,,16.1,Calm,Calm,0
4,Clear,2012-07-02 08:51:00<br />,11.7,,-,49.0,,1010.8,22.8,4:51 AM,,16.1,Calm,Calm,0
5,Clear,2012-07-02 09:51:00<br />,12.2,,-,50.0,,1011.5,23.3,5:51 AM,,16.1,West,9.3,280
6,Clear,2012-07-02 10:51:00<br />,12.8,,-,53.0,,1012.0,22.8,6:51 AM,,16.1,WNW,5.6,290
7,Clear,2012-07-02 11:51:00<br />,12.8,,-,52.0,,1012.8,23.3,7:51 AM,,16.1,Variable,5.6,0
8,Clear,2012-07-02 12:51:00<br />,13.3,,-,48.0,,1013.1,25.0,8:51 AM,,16.1,Variable,7.4,0
9,Clear,2012-07-02 13:51:00<br />,13.3,,-,45.0,,1012.9,26.1,9:51 AM,,16.1,Calm,Calm,0
10,Clear,2012-07-02 14:51:00<br />,13.9,,-,42.0,,1012.8,27.8,10:51 AM,,16.1,Variable,7.4,0
11,Partly Cloudy,2012-07-02 15:51:00<br />,13.3,,-,38.0,,1012.6,28.9,11:51 AM,,16.1,North,14.8,350
12,Partly Cloudy,2012-07-02 16:51:00<br />,11.7,,-,33.0,,1012.3,29.4,12:51 PM,,16.1,Variable,11.1,0
13,Scattered Clouds,2012-07-02 17:51:00<br />,11.7,,-,30.0,,1012.1,31.1,1:51 PM,,16.1,North,13.0,360
14,Unknown,2012-07-02 18:51:00<br />,12.8,,-,37.0,,1012.8,28.9,2:51 PM,,16.1,Variable,5.6,0
15,Clear,2012-07-02 19:51:00<br />,11.1,,-,32.0,,1012.8,29.4,3:51 PM,,16.1,Variable,11.1,0
16,Mostly Cloudy,2012-07-02 20:51:00<br />,11.7,,-,33.0,,1012.8,29.4,4:51 PM,,16.1,WNW,13.0,300
17,Mostly Cloudy,2012-07-02 21:51:00<br />,11.7,,-,33.0,,1012.8,29.4,5:51 PM,,16.1,Variable,5.6,0
18,Clear,2012-07-02 22:51:00<br />,11.1,,-,33.0,,1012.8,28.9,6:51 PM,,16.1,Variable,9.3,0
